book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn,isbn13,authors,original_publication_year,original_title,title,language_code,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,image_url,small_image_url,cleaned_authors,cleaned_title,top_5_tags
436,9777,9777,810135,168,0679457313,9780679457310,Arundhati Roy,1997,The God of Small Things,The God of Small Things,eng,3.91,165378,182127,9294,5833,12631,37349,61880,64434,https://images.gr-assets.com/books/1436217001m/9777.jpg,https://images.gr-assets.com/books/1436217001s/9777.jpg,arundhati roy,the god of small things,"to-read, currently-reading, fiction, favorites, india"
437,18079776,18079776,25387072,63,0670024783,9780670024780,Sue Monk Kidd,2014,The Invention of Wings,The Invention of Wings,en-US,4.23,168006,193774,19518,1466,4021,25745,80524,82018,https://images.gr-assets.com/books/1386699861m/18079776.jpg,https://images.gr-assets.com/books/1386699861s/18079776.jpg,sue monk kidd,the invention of wings,"to-read, historical-fiction, fiction, favorites, bookclub"
438,6469165,6469165,6659752,68,0141043768,9780141043760,Liane Moriarty,2009,What Alice Forgot,What Alice Forgot,eng,4.05,165704,205778,17382,1599,6071,38562,93941,65605,https://images.gr-assets.com/books/1377159022m/6469165.jpg,https://images.gr-assets.com/books/1377159022s/6469165.jpg,liane moriarty,what alice forgot,"to-read, fiction, book-club, favorites, chick-lit"
439,3869,3869,2192250,246,0553380168,9780553380160,"Stephen Hawking, Cao Chi, Phạm Văn Thiều",1987,A Brief History of Time: From the Big Bang to Black Holes,A Brief History of Time,eng,4.12,165628,181410,5146,2487,6028,30632,70364,71899,https://images.gr-assets.com/books/1333578746m/3869.jpg,https://images.gr-assets.com/books/1333578746s/3869.jpg,stephen hawking cao chi phm vn thiu,a brief history of time,"currently-reading, to-read, science, non-fiction, nonfiction"
440,7315573,7315573,8842841,140,0525951652,9780525951650,Ken Follett,2010,Fall of Giants,"Fall of Giants (The Century Trilogy, #1)",eng,4.26,168911,190478,11859,2009,5158,24893,68375,90043,https://images.gr-assets.com/books/1470384630m/7315573.jpg,https://images.gr-assets.com/books/1470384630s/7315573.jpg,ken follett,fall of giants the century trilogy 1,"to-read, historical-fiction, fiction, favorites, currently-reading"
441,6320534,6320534,6760952,110,1439148503,9781439148500,Stephen King,2009,Under the Dome,Under the Dome,eng,3.89,183292,201322,13086,4863,12998,44938,74323,64200,https://images.gr-assets.com/books/1268982908m/6320534.jpg,https://images.gr-assets.com/books/1268982908s/6320534.jpg,stephen king,under the dome,"horror, stephen-king, to-read, fiction, science-fiction"
442,830,830,493634,80,0553380958,9780553380960,Neal Stephenson,1992,Snow Crash,Snow Crash,eng,4.02,175883,187292,7075,7982,10158,29605,61336,78211,https://images.gr-assets.com/books/1477624625m/830.jpg,https://images.gr-assets.com/books/1477624625s/830.jpg,neal stephenson,snow crash,"to-read, currently-reading, science-fiction, sci-fi, fiction"
444,99107,99107,1225592,244,0525467564,9780525467560,"A.A. Milne, Ernest H. Shepard",1926,Winnie-the-Pooh,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",eng,4.34,207550,215213,2978,2636,5254,28148,60427,118748,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,aa milne ernest h shepard,winniethepooh winniethepooh 1,"to-read, favorites, children, fiction, currently-reading"
445,9736930,9736930,14625976,150,0062060554,9780062060560,S.J. Watson,2011,Before I Go to Sleep,Before I Go to Sleep,en-CA,3.87,180896,213136,19206,3703,12436,51695,84940,60362,https://images.gr-assets.com/books/1358353512m/9736930.jpg,https://images.gr-assets.com/books/1358353512s/9736930.jpg,sj watson,before i go to sleep,"to-read, currently-reading, fiction, mystery, thriller"
446,102868,102868,1997473,1106,1420925539,9781420925530,Arthur Conan Doyle,1887,A Study in Scarlet,A Study in Scarlet,eng,4.15,201499,220115,6954,2318,5550,38107,85345,88795,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,arthur conan doyle,a study in scarlet,"to-read, currently-reading, classics, mystery, fiction"
447,2248573,2248573,3124969,143,0375826726,9780375826730,Christopher Paolini,2008,Brisingr,"Brisingr (The Inheritance Cycle, #3)",eng,4.03,211645,226941,7993,4273,13094,44147,75689,89738,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,christopher paolini,brisingr the inheritance cycle 3,"fantasy, to-read, favorites, young-adult, dragons"
449,676924,676924,662923,80,0312360282,9780312360280,"P.C. Cast, Kristin Cast",2007,Betrayed: a House of Night Novel,"Betrayed (House of Night, #2)",en-US,3.93,205340,213261,4993,6222,15443,47467,62243,81886,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,pc cast kristin cast,betrayed house of night 2,"to-read, currently-reading, ya, favorites, series"
450,47212,47212,1137060,75,0451457811,9780451457810,Jim Butcher,2000,Storm Front,"Storm Front (The Dresden Files, #1)",en-US,4.02,203053,219442,12005,3325,9842,45940,80371,79964,https://images.gr-assets.com/books/1419456275m/47212.jpg,https://images.gr-assets.com/books/1419456275s/47212.jpg,jim butcher,storm front the dresden files 1,"to-read, fantasy, urban-fantasy, currently-reading, mystery"
451,50398,50398,4039699,122,1593082649,9781593082640,"Jane Austen, Alfred MacAdam",1817,Northanger Abbey,Northanger Abbey,eng,3.8,205167,232299,8616,4132,15938,65157,84363,62709,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,jane austen alfred macadam,northanger abbey,"to-read, classics, currently-reading, fiction, favorites"
452,16101128,16101128,19187812,102,0399162410,9780399162410,Rick Yancey,2013,The 5th Wave,"The 5th Wave (The 5th Wave, #1)",eng,4.1,260048,287540,26756,6176,13097,47631,98816,121820,https://images.gr-assets.com/books/1359853842m/16101128.jpg,https://images.gr-assets.com/books/1359853842s/16101128.jpg,rick yancey,the 5th wave the 5th wave 1,"to-read, currently-reading, favorites, young-adult, sci-fi"
453,10920,10920,1006369,97,0802142842,9780802142850,Charles Frazier,1997,Cold Mountain,Cold Mountain,en-US,3.83,185979,190137,4884,6078,14021,43914,68143,57981,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,charles frazier,cold mountain,"to-read, historical-fiction, fiction, currently-reading, favorites"
454,767680,767680,3132746,41,0060245867,9780060245860,"Laura Joffe Numeroff, Felicia Bond",1985,If You Give a Mouse a Cookie,If You Give a Mouse a Cookie,en-US,4.24,198083,198778,3016,3208,7772,32336,50573,104889,https://images.gr-assets.com/books/1276046901m/767680.jpg,https://images.gr-assets.com/books/1276046901s/767680.jpg,laura joffe numeroff felicia bond,if you give a mouse a cookie,"to-read, picture-books, childrens, children-s-books, children"
455,42155,42155,1470371,43,0312323867,9780312323870,Emily Giffin,2005,Something Blue,"Something Blue (Darcy & Rachel, #2)",en-US,3.92,172417,178529,6646,2164,9144,44161,68226,54834,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,emily giffin,something blue darcy  rachel 2,"to-read, chick-lit, currently-reading, fiction, favorites"
456,12220,12220,142449,109,0822210894,9780822210890,Tennessee Williams,1947,A Streetcar Named Desire,A Streetcar Named Desire,eng,3.97,194493,206983,2841,3436,11347,45238,74929,72033,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,tennessee williams,a streetcar named desire,"to-read, plays, classics, favorites, drama"
457,10692,10692,3061272,129,0751537284,9780751537280,Elizabeth Kostova,2005,The Historian,The Historian,eng,3.77,190473,207529,14252,8554,18768,48197,68781,63229,https://images.gr-assets.com/books/1338298031m/10692.jpg,https://images.gr-assets.com/books/1338298031s/10692.jpg,elizabeth kostova,the historian,"to-read, fiction, historical-fiction, favorites, fantasy"
458,20170404,20170404,28098716,63,0385353308,9780385353300,Emily St. John Mandel,2014,Station Eleven,Station Eleven,eng,4.02,160466,189380,24215,4039,8449,33537,77755,65600,https://images.gr-assets.com/books/1451446835m/20170404.jpg,https://images.gr-assets.com/books/1451446835s/20170404.jpg,emily st john mandel,station eleven,"to-read, currently-reading, fiction, favorites, science-fiction"
459,18774964,18774964,21619954,132,1476738017,9781476738020,"Fredrik Backman, Henning Koch",2012,En man som heter Ove,A Man Called Ove,eng,4.35,183777,243440,34386,2589,5734,25138,81377,128602,https://images.gr-assets.com/books/1405259930m/18774964.jpg,https://images.gr-assets.com/books/1405259930s/18774964.jpg,fredrik backman henning koch,a man called ove,"to-read, fiction, favorites, book-club, contemporary"
460,18335634,18335634,6309710,79,1406321346,9781406321340,Cassandra Clare,2013,Clockwork Princess,"Clockwork Princess (The Infernal Devices, #3)",eng,4.59,162099,247984,23261,1935,3804,16964,49313,175968,https://images.gr-assets.com/books/1436788488m/18335634.jpg,https://images.gr-assets.com/books/1436788488s/18335634.jpg,cassandra clare,clockwork princess the infernal devices 3,"favorites, to-read, fantasy, currently-reading, young-adult"
461,1078,1078,2346070,210,1416500189,9781416500190,Pearl S. Buck,1931,The Good Earth,"The Good Earth (House of Earth, #1)",eng,3.97,182220,193405,8259,5262,11487,38413,67056,71187,https://images.gr-assets.com/books/1312497600m/1078.jpg,https://images.gr-assets.com/books/1312497600s/1078.jpg,pearl s buck,the good earth house of earth 1,"to-read, china, book-club, literature, owned"
463,5364,5364,2866304,141,0385335970,9780385335970,Diana Gabaldon,1992,Dragonfly in Amber,"Dragonfly in Amber (Outlander, #2)",eng,4.31,178110,210989,12025,1200,4958,27491,70976,106364,https://images.gr-assets.com/books/1456114344m/5364.jpg,https://images.gr-assets.com/books/1456114344s/5364.jpg,diana gabaldon,dragonfly in amber outlander 2,"to-read, currently-reading, historical-fiction, romance, favorites"
464,1923820,1923820,6405906,1449,-,-,Anonymous,1611,-,Holy Bible: King James Version,eng,4.43,159457,171594,4438,10011,6802,11712,14338,128731,https://images.gr-assets.com/books/1313518530m/1923820.jpg,https://images.gr-assets.com/books/1313518530s/1923820.jpg,anonymous,holy bible king james version,"to-read, currently-reading, religion, favorites, classics"
465,14758,14758,964332,53,0743495667,9780743495660,Jennifer Weiner,2002,In Her Shoes,In Her Shoes,-,3.78,167400,174338,2513,3345,11596,50482,64358,44557,https://images.gr-assets.com/books/1435252471m/14758.jpg,https://images.gr-assets.com/books/1435252471s/14758.jpg,jennifer weiner,in her shoes,"to-read, chick-lit, fiction, currently-reading, favorites"
466,659469,659469,16998382,44,0345368584,9780345368580,"Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming",1989,The Hobbit,The Hobbit: Graphic Novel,eng,4.48,155338,159435,957,991,2180,14437,43107,98720,https://images.gr-assets.com/books/1374681632m/659469.jpg,https://images.gr-assets.com/books/1374681632s/659469.jpg,chuck dixon jrr tolkien david wenzel sean deming,the hobbit graphic novel,"to-read, fantasy, currently-reading, favorites, classics"
467,297673,297673,3281466,9,1594489580,9781594489590,Junot Díaz,2007,The Brief Wondrous Life of Oscar Wao,The Brief Wondrous Life of Oscar Wao,eng,3.89,160330,181124,16640,5212,12924,37298,67080,58610,https://images.gr-assets.com/books/1391409748m/297673.jpg,https://images.gr-assets.com/books/1391409748s/297673.jpg,junot daz,the brief wondrous life of oscar wao,"to-read, fiction, favorites, currently-reading, novels"
468,37415,37415,1643555,80,0061120065,9780061120060,Zora Neale Hurston,1937,Their Eyes Were Watching God,Their Eyes Were Watching God,eng,3.87,181106,198264,9005,5743,14231,44676,69779,63835,https://images.gr-assets.com/books/1368072803m/37415.jpg,https://images.gr-assets.com/books/1368072803s/37415.jpg,zora neale hurston,their eyes were watching god,"to-read, classics, fiction, currently-reading, favorites"
469,41899,41899,4195128,123,0439321603,9780439321600,"Newt Scamander, J.K. Rowling, Albus Dumbledore",2001,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,eng,3.95,185928,209465,6523,2847,13155,52573,64027,76863,https://images.gr-assets.com/books/1303738520m/41899.jpg,https://images.gr-assets.com/books/1303738520s/41899.jpg,newt scamander jk rowling albus dumbledore,fantastic beasts and where to find them,"harry-potter, books-i-own, young-adult, to-read, fiction"
471,45032,45032,2722329,1208,0141439807,9780141439810,"Jane Austen, Kathryn Sutherland, Tony Tanner, Claire Lamont",1814,Mansfield Park,Mansfield Park,eng,3.84,205064,224467,7046,4183,14784,59163,82001,64336,https://images.gr-assets.com/books/1397063295m/45032.jpg,https://images.gr-assets.com/books/1397063295s/45032.jpg,jane austen kathryn sutherland tony tanner claire lamont,mansfield park,"to-read, currently-reading, fiction, romance, classic"
472,4069,4069,3389674,187,080701429X,9780807014300,Viktor E. Frankl,1946,…trotzdem Ja zum Leben sagen: Ein Psychologe erlebt das Konzentrationslager,Man's Search for Meaning,eng,4.33,171281,193751,10147,2161,4948,23224,59644,103774,https://images.gr-assets.com/books/1467136625m/4069.jpg,https://images.gr-assets.com/books/1467136625s/4069.jpg,viktor e frankl,mans search for meaning,"to-read, currently-reading, non-fiction, psychology, philosophy"
473,237209,237209,3088141,78,0670038601,9780670038600,Tana French,2007,In the Woods,"In the Woods (Dublin Murder Squad, #1)",eng,3.74,188024,201721,15392,6553,15636,51430,77182,50920,https://images.gr-assets.com/books/1348442606m/237209.jpg,https://images.gr-assets.com/books/1348442606s/237209.jpg,tana french,in the woods dublin murder squad 1,"to-read, currently-reading, mystery, fiction, crime"
474,14743,14743,3044365,104,0618680004,9780618680010,Richard Dawkins,2006,The God Delusion,The God Delusion,eng,3.89,162740,176774,6812,9571,11019,31723,60769,63692,https://images.gr-assets.com/books/1347220693m/14743.jpg,https://images.gr-assets.com/books/1347220693s/14743.jpg,richard dawkins,the god delusion,"currently-reading, non-fiction, to-read, religion, science"
475,8492825,8492825,10706553,8,0525422943,9780525422940,Gayle Forman,2011,Where She Went,"Where She Went (If I Stay, #2)",en-US,4.06,193141,218362,18556,2856,10629,43007,76839,85031,https://images.gr-assets.com/books/1347810457m/8492825.jpg,https://images.gr-assets.com/books/1347810457s/8492825.jpg,gayle forman,where she went if i stay 2,"to-read, young-adult, romance, ya, contemporary"
476,7069,7069,1028204,165,0345915593,9780345915600,John Irving,1978,The World According to Garp,The World According to Garp,eng,4.07,167106,179078,4569,3098,7716,31528,67942,68794,https://images.gr-assets.com/books/1447234581m/7069.jpg,https://images.gr-assets.com/books/1447234581s/7069.jpg,john irving,the world according to garp,"fiction, favorites, classics, literature, contemporary"
477,78129,78129,4511038,127,0515141429,9780515141430,Lee Child,1997,Killing Floor,"Killing Floor (Jack Reacher, #1)",eng,4.04,162972,182703,8032,2652,7160,35471,71953,65467,https://images.gr-assets.com/books/1399313258m/78129.jpg,https://images.gr-assets.com/books/1399313258s/78129.jpg,lee child,killing floor jack reacher 1,"to-read, currently-reading, thriller, mystery, fiction"
478,2932,2932,604666,558,0375757325,9780375757330,"Daniel Defoe, Gerald McCann, Virginia Woolf",1719,"The Life and Strange Surprising Adventures of Robinson Crusoe of York, Mariner",Robinson Crusoe,eng,3.66,178188,196865,4603,6429,18126,58497,67140,46673,https://images.gr-assets.com/books/1403180114m/2932.jpg,https://images.gr-assets.com/books/1403180114s/2932.jpg,daniel defoe gerald mccann virginia woolf,robinson crusoe,"to-read, classics, currently-reading, fiction, classic"
479,28862,28862,1335445,1654,0937832383,9780937832390,"Niccolò Machiavelli, Adolph Caso, Rufus Goodwin, Benjamin Martinez",1513,Il Principe,The Prince,eng,3.78,153128,181980,5389,4222,14222,49930,63294,50312,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,niccol machiavelli adolph caso rufus goodwin benjamin martinez,the prince,"to-read, classics, philosophy, history, nonfiction"
480,18122,18122,1774510,42,0440238153,9780440238160,Philip Pullman,2000,The Amber Spyglass,"The Amber Spyglass (His Dark Materials, #3)",eng,4.06,192315,217610,6693,4739,11883,39131,70648,91209,https://images.gr-assets.com/books/1329189152m/18122.jpg,https://images.gr-assets.com/books/1329189152s/18122.jpg,philip pullman,the amber spyglass his dark materials 3,"to-read, fantasy, young-adult, favorites, fiction"
481,43889,43889,1323305,90,0765346524,9780765346520,Terry Goodkind,1994,Wizard's First Rule,"Wizard's First Rule (Sword of Truth, #1)",eng,4.13,175771,188159,5485,6176,9386,27430,55921,89246,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,terry goodkind,wizards first rule sword of truth 1,"to-read, fantasy, currently-reading, favorites, fiction"
482,6837103,6837103,7048306,46,1439153663,9781439153670,Kathleen Grissom,2010,The Kitchen House,The Kitchen House,en-CA,4.18,168082,179277,15812,1830,5689,26149,71058,74551,https://images.gr-assets.com/books/1463229128m/6837103.jpg,https://images.gr-assets.com/books/1463229128s/6837103.jpg,kathleen grissom,the kitchen house,"to-read, historical-fiction, book-club, currently-reading, fiction"
483,5113,5113,3118417,125,0316769029,9780316769020,J.D. Salinger,1961,Franny and Zooey,Franny and Zooey,en-US,3.98,152906,162697,5297,2841,9398,34950,56515,58993,https://images.gr-assets.com/books/1355037988m/5113.jpg,https://images.gr-assets.com/books/1355037988s/5113.jpg,jd salinger,franny and zooey,"to-read, favorites, fiction, currently-reading, classics"
484,29059,29059,3185242,84,0385720920,9780385720920,Chuck Palahniuk,2001,Choke,Choke,eng,3.69,154643,162963,5328,4541,13841,46314,60868,37399,https://images.gr-assets.com/books/1403186013m/29059.jpg,https://images.gr-assets.com/books/1403186013s/29059.jpg,chuck palahniuk,choke,"to-read, fiction, favorites, owned, contemporary"
485,4934,4934,3393910,1072,0374528373,9780374528380,"Fyodor Dostoyevsky, Richard Pevear, Larissa Volokhonsky",1880,Братья Карамазовы,The Brothers Karamazov,eng,4.3,155838,178135,7640,2339,5887,22752,51450,95707,https://images.gr-assets.com/books/1427728126m/4934.jpg,https://images.gr-assets.com/books/1427728126s/4934.jpg,fyodor dostoyevsky richard pevear larissa volokhonsky,the brothers karamazov,"classics, favorites, russian, literature, russian-literature"
486,307791,307791,2285229,69,0375822747,9780375822740,Jeanne DuPrau,2003,The City of Ember,"The City of Ember (Book of Ember, #1)",eng,3.85,198809,204085,9322,3684,13227,53014,74561,59599,https://images.gr-assets.com/books/1397931596m/307791.jpg,https://images.gr-assets.com/books/1397931596s/307791.jpg,jeanne duprau,the city of ember book of ember 1,"to-read, young-adult, currently-reading, dystopian, fantasy"
487,7670,7670,997271,122,0060541814,9780060541810,Michael Crichton,1969,The Andromeda Strain,The Andromeda Strain,-,3.87,173186,178917,2555,1599,9379,48894,69876,49169,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,michael crichton,the andromeda strain,"to-read, science-fiction, sci-fi, thriller, currently-reading"
488,11566,11566,15599,162,0451933028,9780451933030,Stephen King,1996,The Green Mile,The Green Mile,eng,4.42,173950,191109,4873,725,3044,19770,59813,107757,https://images.gr-assets.com/books/1373903563m/11566.jpg,https://images.gr-assets.com/books/1373903563s/11566.jpg,stephen king,the green mile,"to-read, stephen-king, favorites, horror, fiction"
489,2547,2547,2938937,721,000100039X,9780001000390,Kahlil Gibran,1923,The Prophet,The Prophet,eng,4.22,142641,164552,6263,2748,6601,24667,47472,83064,https://images.gr-assets.com/books/1355046521m/2547.jpg,https://images.gr-assets.com/books/1355046521s/2547.jpg,kahlil gibran,the prophet,"to-read, poetry, favorites, philosophy, classics"
490,15196,15196,1947012,37,0394541553,9780394541560,Art Spiegelman,1985,Maus: A Survivor's Tale : My Father Bleeds History,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1)",eng,4.35,184007,191615,4837,2822,4801,21104,56900,105988,https://images.gr-assets.com/books/1327884972m/15196.jpg,https://images.gr-assets.com/books/1327884972s/15196.jpg,art spiegelman,maus i a survivors tale my father bleeds history maus 1,"to-read, graphic-novels, graphic-novel, comics, favorites"
491,2866718,2866718,2892871,67,0312379838,9780312379830,"P.C. Cast, Kristin Cast",2008,Untamed: A House of Night Novel,"Untamed (House of Night, #4)",en-US,3.95,191743,198350,3356,5701,13859,43080,56984,78726,https://images.gr-assets.com/books/1438037020m/2866718.jpg,https://images.gr-assets.com/books/1438037020s/2866718.jpg,pc cast kristin cast,untamed house of night 4,"to-read, young-adult, vampires, fantasy, house-of-night"
492,7967,7967,2327777,99,0812550757,9780812550760,Orson Scott Card,1986,Speaker for the Dead,"Speaker for the Dead (Ender's Saga, #2)",en-US,4.04,164287,182764,6579,1855,8031,36323,70924,65631,https://images.gr-assets.com/books/1295660894m/7967.jpg,https://images.gr-assets.com/books/1295660894s/7967.jpg,orson scott card,speaker for the dead enders saga 2,"to-read, science-fiction, sci-fi, favorites, currently-reading"
493,11138,11138,801500,152,0684823780,9780684823780,C.S. Lewis,1952,Mere Christianity,Mere Christianity,eng,4.31,184759,198433,6041,4215,6220,23223,54958,109817,https://images.gr-assets.com/books/1468102872m/11138.jpg,https://images.gr-assets.com/books/1468102872s/11138.jpg,cs lewis,mere christianity,"favorites, christian, religion, to-read, theology"
494,29044,29044,221359,141,1400031702,9781400031700,Donna Tartt,1992,The Secret History,The Secret History,eng,4.07,168405,189596,13324,3685,9750,32410,66858,76893,https://images.gr-assets.com/books/1451554846m/29044.jpg,https://images.gr-assets.com/books/1451554846s/29044.jpg,donna tartt,the secret history,"to-read, currently-reading, favorites, fiction, mystery"
495,4953,4953,42857,65,0375725784,9780375725780,Dave Eggers,2000,A Heartbreaking Work of Staggering Genius,A Heartbreaking Work of Staggering Genius,eng,3.68,145459,149779,8673,7877,15434,35148,50148,41172,https://images.gr-assets.com/books/1327714834m/4953.jpg,https://images.gr-assets.com/books/1327714834s/4953.jpg,dave eggers,a heartbreaking work of staggering genius,"to-read, currently-reading, fiction, favorites, memoir"
496,1295,1295,1584694,161,0553381679,9780553381670,Jean M. Auel,1980,The Clan of the Cave Bear,"The Clan of the Cave Bear (Earth's Children, #1)",eng,4.02,176062,187874,5137,3977,10151,37279,63914,72553,https://images.gr-assets.com/books/1385331302m/1295.jpg,https://images.gr-assets.com/books/1385331302s/1295.jpg,jean m auel,the clan of the cave bear earths children 1,"to-read, currently-reading, historical-fiction, owned, series"
497,3685,3685,4639714,1033,0439228905,9780439228910,Anna Sewell,1877,Black Beauty,Black Beauty,eng,3.94,183255,195205,3377,3633,11665,47165,62472,70270,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,anna sewell,black beauty,"to-read, classics, currently-reading, fiction, favorites"
498,656,656,4912783,1017,0192833987,9780192833980,"Leo Tolstoy, Henry Gifford, Aylmer Maude, Louise Maude",1869,Война и миръ,War and Peace,eng,4.11,168037,192992,8062,4952,9691,31876,60043,86430,https://images.gr-assets.com/books/1413215930m/656.jpg,https://images.gr-assets.com/books/1413215930s/656.jpg,leo tolstoy henry gifford aylmer maude louise maude,war and peace,"to-read, currently-reading, classics, fiction, favorites"
499,28676,28676,2270060,144,0679735771,9780679735780,Bret Easton Ellis,1991,American Psycho,American Psycho,eng,3.81,166083,177109,7669,8639,13632,36830,61550,56458,https://images.gr-assets.com/books/1436934349m/28676.jpg,https://images.gr-assets.com/books/1436934349s/28676.jpg,bret easton ellis,american psycho,"to-read, currently-reading, fiction, favorites, horror"
500,38980,38980,2073907,125,0613371658,9780613371650,Meg Cabot,2000,The Princess Diaries,"The Princess Diaries (The Princess Diaries, #1)",eng,3.76,193140,200671,4289,5442,16659,57732,61651,59187,https://images.gr-assets.com/books/1355011082m/38980.jpg,https://images.gr-assets.com/books/1355011082s/38980.jpg,meg cabot,the princess diaries the princess diaries 1,"young-adult, to-read, ya, currently-reading, favorites"
501,7061,7061,826298,108,1400034779,9781400034770,Alexander McCall Smith,1998,The No. 1 Ladies' Detective Agency ,"The No. 1 Ladies' Detective Agency  (No. 1 Ladies' Detective Agency, #1)",eng,3.75,180320,189258,9369,6389,14860,49558,66723,51728,https://images.gr-assets.com/books/1459953654m/7061.jpg,https://images.gr-assets.com/books/1459953654s/7061.jpg,alexander mccall smith,the no 1 ladies detective agency  no 1 ladies detective agency 1,"to-read, mystery, fiction, currently-reading, africa"
503,70535,70535,208362,221,0451457994,9780451458000,Arthur C. Clarke,1968,2001: A Space Odyssey,"2001: A Space Odyssey (Space Odyssey, #1)",eng,4.12,170841,180661,3722,2050,6387,32236,67831,72157,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,arthur c clarke,2001 a space odyssey space odyssey 1,"to-read, science-fiction, sci-fi, fiction, currently-reading"
506,18635016,18635016,21587145,94,0062059998,9780062059990,Kiera Cass,2014,The One,"The One (The Selection, #3)",eng,4.21,139544,237039,21608,3322,9750,35942,72422,115603,https://images.gr-assets.com/books/1395612906m/18635016.jpg,https://images.gr-assets.com/books/1395612906s/18635016.jpg,kiera cass,the one the selection 3,"favorites, young-adult, currently-reading, romance, dystopian"
508,1869,1869,1840613,57,0805063897,9780805063900,Barbara Ehrenreich,2001,Nickel and Dimed: On (Not) Getting By in America,Nickel and Dimed: On (Not) Getting By in America,eng,3.6,152786,157470,5723,10628,14572,40395,53783,38092,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,barbara ehrenreich,nickel and dimed on not getting by in america,"to-read, favorites, non-fiction, nonfiction, sociology"
509,1358844,1358844,2855627,90,0593053893,9780593053900,Sophie Kinsella,2008,Remember Me?,Remember Me?,eng,3.76,170096,182581,6838,3877,12970,52917,65379,47438,https://images.gr-assets.com/books/1276963901m/1358844.jpg,https://images.gr-assets.com/books/1276963901s/1358844.jpg,sophie kinsella,remember me,"chick-lit, to-read, currently-reading, romance, fiction"
510,233649,233649,1574475,71,0812517725,9780812517730,Robert Jordan,1990,The Great Hunt,"The Great Hunt (Wheel of Time, #2)",en-US,4.2,162595,172500,3061,1824,5059,25119,64494,76004,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,robert jordan,the great hunt wheel of time 2,"fantasy, fiction, wheel-of-time, favorites, epic-fantasy"
